Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ebd7f43e76940f675b0c2ea0615241fcba56f5650127b490c2e8f1642e823b26,2013-07,South Wales Police,South Wales Police,-3.237745,51.523204,On or near WHITWORTH SQUARE,W01001895,Cardiff 010D,Investigation complete; no suspect identified
0e855d7f9d80665f0f34e92738bf35e90469efaa2b0640ce80e71bd4278238ee,2013-07,South Wales Police,South Wales Police,-3.233536,51.511460,On or near ELMGROVE ROAD,W01001888,Cardiff 010A,Investigation complete; no suspect identified
333f626e5f878bb65adc6b056fb832564af561d6252e549619c70ee3bd27f575,2013-07,South Wales Police,South Wales Police,-3.119450,51.520365,On or near MOUNT PLEASANT LANE,W01001802,Cardiff 007A,Investigation complete; no suspect identified
5b67948807f4d878e5c1ca3ab1fd27159a9cb830808a3bba878981e4284c6abe,2013-07,South Wales Police,South Wales Police,-3.121542,51.528060,On or near OTHERY PLACE,W01001807,Cardiff 007B,Investigation complete; no suspect identified
8f5301cfc4693a1a91124914f8dac3c677b47217ae09c6b2ac3457f351cb47fb,2013-07,South Wales Police,South Wales Police,-3.657197,51.626069,On or near COEGNANT ROAD,W01000994,Bridgend 001D,Investigation complete; no suspect identified
ec4f8a414ab95f8c4507333c9c39350348ea1d9a1c99cb67828898be584472c3,2013-07,South Wales Police,South Wales Police,-3.202298,51.485367,On or near ROMILLY CRESCENT,W01001859,Cardiff 034B,Investigation complete; no suspect identified
a8d4afa3a5864dd226083a9bec8b90cb65667b677efed445a4ffc06ce119c9ed,2013-07,South Wales Police,South Wales Police,-3.498035,51.524377,On or near GWALIA ROAD,W01001004,Bridgend 009A,Investigation complete; no suspect identified
40eebff4e0edb99e638f8b41b04c368d92e2db60a7270f3625a49c4c5fb4629b,2013-07,South Wales Police,South Wales Police,-3.656042,51.634007,On or near GROSVENOR TERRACE,W01000993,Bridgend 001C,Investigation complete; no suspect identified
fa7d3f3d4fed8a379de09982737793007468063a147553506ff6aa7ae0253bab,2013-07,South Wales Police,South Wales Police,-3.976440,51.657771,On or near WALDHOF COURT,W01000836,Swansea 011E,Investigation complete; no suspect identified
14139bb2120a5d31a042f52114c09f77938eb7af4348088dbf163bfec1c63d01,2013-07,South Wales Police,South Wales Police,-3.202530,51.488700,On or near PONTCANNA PLACE,W01001858,Cardiff 034A,Investigation complete; no suspect identified
e6f04dbdafcd5250c6625b2a52424c0d256192dec2a7703ec5e474e2d84a6400,2013-07,South Wales Police,South Wales Police,-3.225800,51.516946,On or near PARK VIEW COURT,W01001895,Cardiff 010D,Investigation complete; no suspect identified
2664005e14985ea1735319b0244f4bfa3079fa0ce040d9fc6be96e7899a83ffb,2013-07,South Wales Police,South Wales Police,-3.821383,51.603070,On or near AMBER CLOSE,W01000961,Neath Port Talbot 016C,Investigation complete; no suspect identified
33fdd4485b47a9e34345c9514014502b81f866d0442235c200a28fe4d4ac165b,2013-07,South Wales Police,South Wales Police,-3.443223,51.710343,On or near UPPER REGENT STREET,W01001150,Rhondda Cynon Taf 003B,Investigation complete; no suspect identified
2586c000e3b7a591114d7263af06dacc403667f9e705b2cabb76d60f39bab474,2013-07,South Wales Police,South Wales Police,-3.715325,51.616646,On or near CORONATION STREET,W01000898,Neath Port Talbot 014A,Investigation complete; no suspect identified
5a9068a74c8ec18a5fbdc963581d9855811c347161f0c67d396bc1b4fa1beab0,2013-07,South Wales Police,South Wales Police,-3.272860,51.404296,On or near Parking Area,W01001066,The Vale of Glamorgan 015D,Investigation complete; no suspect identified
74fe8f60c3537572801aafff2701649074e5de367c94d92bce123f2392e41c2a,2013-07,South Wales Police,South Wales Police,-3.202260,51.448311,On or near Parking Area,W01001104,The Vale of Glamorgan 004E,Investigation complete; no suspect identified
71f670e8a820151c51444a99f5f40d48413f73e14def45895a9b8292df57d7c5,2013-07,South Wales Police,South Wales Police,-3.256476,51.414490,On or near ABINGDON STREET,W01001069,The Vale of Glamorgan 012C,Investigation complete; no suspect identified
26bd8b26bde426838233ee88935ede3ef9f692a5593c0754d7aac18102a898b2,2013-07,South Wales Police,South Wales Police,-3.172859,51.483651,On or near WINDSOR LANE,W01001939,Cardiff 032F,Investigation complete; no suspect identified
b48811df9541124079305e084351b4b096d0fd621ed7f26dc38eafcfec2cc18c,2013-07,South Wales Police,South Wales Police,-3.891264,51.653518,On or near HEOL GWILI,W01000799,Swansea 010D,Investigation complete; no suspect identified
d561fd2b913f2450b3a36674f3b6c6acc26722f31fcd82121f97e4e963385f38,2013-07,South Wales Police,South Wales Police,-3.297821,51.667440,On or near Pedestrian Subway,W01001290,Merthyr Tydfil 007A,Investigation complete; no suspect identified
06e5fd8a2c255dd01bbc4d4493ec923188fb4edc37008129b577eb7ca83dc0fe,2013-07,South Wales Police,South Wales Police,-3.268519,51.467170,On or near MICHAELSTON ROAD,W01001702,Cardiff 045A,Investigation complete; no suspect identified
a8a2f6786fbab226c9c7432e118922f9c0fd7020cd0184a0d4c71ec978ae4087,2013-07,South Wales Police,South Wales Police,-3.779342,51.596296,On or near FORGE ROAD,W01000950,Neath Port Talbot 018B,Investigation complete; no suspect identified
cac340a160bb5cb811c121e80de4d5c1d95a3d2849a509b1e43dd3cc8df90516,2013-07,South Wales Police,South Wales Police,-3.343001,51.605051,On or near TYFICA ROAD,W01001228,Rhondda Cynon Taf 021D,Investigation complete; no suspect identified
