Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
449dd6f86ab83ce3dccfc4fb49e1a96c04e638a1f048222fd36f247232cc35c5,2013-03,South Wales Police,South Wales Police,-3.371724,51.674999,On or near JONES STREET,W01001212,Rhondda Cynon Taf 008D,Investigation complete; no suspect identified
143725e12642d015bee81a8b754b695bae176445b3be28f51a4c08adf40f6845,2013-03,South Wales Police,South Wales Police,-3.372139,51.673429,On or near GLANCYNON STREET,W01001212,Rhondda Cynon Taf 008D,Investigation complete; no suspect identified
3a2368f480e64986da58caae18c705bd44248f8ca7ce5a245457ff8ae549ddae,2013-03,South Wales Police,South Wales Police,-3.488649,51.647489,On or near PRYCE STREET,W01001213,Rhondda Cynon Taf 011A,Suspect charged
6c2f9119544135b422bee1e68ed3c909cdcf351e5951b1a9cde2c4a33ba5f223,2013-03,South Wales Police,South Wales Police,-3.490636,51.645926,On or near WHITEFIELD STREET,W01001213,Rhondda Cynon Taf 011A,Investigation complete; no suspect identified
6030a312a473da74d25b778dbf532a244e73f696e047bb6095d44e75c420abee,2013-03,South Wales Police,South Wales Police,-3.494062,51.645064,On or near DINAM PARK,W01001214,Rhondda Cynon Taf 011B,Local resolution
d8e56cd358fb2db721cf60fd0defd4f31894269e33442cc45a1654b2e7c147c7,2013-03,South Wales Police,South Wales Police,-3.488379,51.650271,On or near WESLEY PLACE,W01001215,Rhondda Cynon Taf 011C,Suspect charged
c9ed7d1089a65b5b3170103c16f0dc86b6f6b8dfae3f730ee81e366ebe8bad88,2013-03,South Wales Police,South Wales Police,-3.494545,51.656244,On or near ASH GROVE,W01001216,Rhondda Cynon Taf 011D,Investigation complete; no suspect identified
a71a22627162db58d27de2690bd7134413f9625dbbd6ec1352ef78dda5237008,2013-03,South Wales Police,South Wales Police,-3.495445,51.653292,On or near WINDSOR PLACE,W01001216,Rhondda Cynon Taf 011D,Suspect charged
d971702535f02c1a9d1d7c9274da7568ffbeacc9441fcecff3036a9893a5616f,2013-03,South Wales Police,South Wales Police,-3.442735,51.615808,On or near BROADFIELD CLOSE,W01001217,Rhondda Cynon Taf 018A,Investigation complete; no suspect identified
f18845f4074ed57cdc7d3c71db0087d8dfda85d1ffffd6da0fad62bbc65e1ba0,2013-03,South Wales Police,South Wales Police,-3.438714,51.615201,On or near AUBREY ROAD,W01001217,Rhondda Cynon Taf 018A,Investigation complete; no suspect identified
1e2b5a38c2af36142613873eff39344bb62413d721f1550f8c4ffb68dc0b171b,2013-03,South Wales Police,South Wales Police,-3.444427,51.615446,On or near VICARAGE CLOSE,W01001217,Rhondda Cynon Taf 018A,Investigation complete; no suspect identified
e8cf897573d72a16a48b7d18babb07a3e5f5075feaf1c625be31be02f1d85e50,2013-03,South Wales Police,South Wales Police,-3.453689,51.614648,On or near LLEWELLYN STREET,W01001218,Rhondda Cynon Taf 018B,Investigation complete; no suspect identified
40694bd0c3d3a3769c25308e47c8e3f25f666d2260ed4049ce1cb45ece36a84c,2013-03,South Wales Police,South Wales Police,-3.449132,51.618022,On or near Petrol Station,W01001218,Rhondda Cynon Taf 018B,Investigation complete; no suspect identified
47d845da76bcb96aeedf0e6bd140545582b3cdc957ecfe0bb2ee75f4e38bcb21,2013-03,South Wales Police,South Wales Police,-3.447040,51.614928,On or near GLANNANT STREET,W01001218,Rhondda Cynon Taf 018B,Investigation complete; no suspect identified
c49780a3976f2a41247cf79563d3dce8bd1b3841750a2c7df6971ec31a469f6e,2013-03,South Wales Police,South Wales Police,-3.453689,51.614648,On or near LLEWELLYN STREET,W01001218,Rhondda Cynon Taf 018B,Investigation complete; no suspect identified
a1edb08c9f0c3912c031ae129663f2d6bcc1f16a9f7886af280982167c8fc94e,2013-03,South Wales Police,South Wales Police,-3.451074,51.612352,On or near CARN Y CELYN CLOSE,W01001219,Rhondda Cynon Taf 018C,Investigation complete; no suspect identified
d1076f58cd64489dc016b1d640c9797f230c79f3dcc35e7b3818f6dbc41eb614,2013-03,South Wales Police,South Wales Police,-3.447358,51.609493,On or near Parking Area,W01001219,Rhondda Cynon Taf 018C,Suspect charged
f7141d77c0c4a89a74eac982454f5fb3cc7708c39c7c6bfcdd0d29dde5f24710,2013-03,South Wales Police,South Wales Police,-3.499523,51.734743,On or near Trenant,W01001221,Rhondda Cynon Taf 001D,Investigation complete; no suspect identified
3a981fdb6c868a21785cf093902f4950a2ae91e5bc59189fb18cb49e6e7130c0,2013-03,South Wales Police,South Wales Police,-3.487454,51.731911,On or near ARFRYN,W01001221,Rhondda Cynon Taf 001D,Investigation complete; no suspect identified
f59695733ba3e9ee2d44c67c661899e8d1b9f015505f0673e9856e4fa3754f17,2013-03,South Wales Police,South Wales Police,-3.479235,51.732977,On or near BRODAWEL,W01001222,Rhondda Cynon Taf 001E,Investigation complete; no suspect identified
514a231042466d1c1a6901fc570ef7dff371997544f55dfde634eb4d7ed5b763,2013-03,South Wales Police,South Wales Police,-3.482162,51.732607,On or near PEN-YR-HEOL,W01001222,Rhondda Cynon Taf 001E,Investigation complete; no suspect identified
