Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a5bad5f31d8337e2596e9d3a7ccc9bd38b8795df1fef881acfc241bd4bc0ee18,2013-02,South Wales Police,South Wales Police,-3.100449,51.525535,On or near ST ARVANS CRESCENT,W01001878,Cardiff 011B,Investigation complete; no suspect identified
a87bee9562c5401e11befe872a8d54efc47f598aa3e504fef5eb8f3452034169,2013-02,South Wales Police,South Wales Police,-3.183856,51.485644,On or near Further/Higher Educational Building,W01001939,Cardiff 032F,Investigation complete; no suspect identified
eeb6b4334901d6bc4596e4c5abf29c3ec5fe3e2ecb16bbac5c12bc1448d4d5f1,2013-02,South Wales Police,South Wales Police,-3.127388,51.501523,On or near PRIMROSE CLOSE,W01001863,Cardiff 022A,Investigation complete; no suspect identified
fd1ca8850c584313ff315c61df02ced009e7d14ba4c0bf2232c004c41957b13c,2013-02,South Wales Police,South Wales Police,-3.975929,51.645685,On or near HEOL CALFIN,W01000761,Swansea 013B,Investigation complete; no suspect identified
817fae6ee645e8252448248311d4f375141444e344c8db800189502c2139e7dd,2013-02,South Wales Police,South Wales Police,-4.029234,51.667652,On or near GORSEINON ROAD,W01000773,Swansea 005A,Investigation complete; no suspect identified
622d30f48d618a5a994ed8ef41a5b18264db04fb72ddef588c313950e2af9f0c,2013-02,South Wales Police,South Wales Police,-3.256724,51.417751,On or near EDWARD STREET,W01001081,The Vale of Glamorgan 007A,Investigation complete; no suspect identified
23e10b6b8cd44aaf636d00898146a31fe9bac2882dd75ddb20d91c6e09dd2ac3,2013-02,South Wales Police,South Wales Police,-3.491199,51.653859,On or near REES PLACE,W01001215,Rhondda Cynon Taf 011C,Investigation complete; no suspect identified
84065f3721fb20bf3ad8b2240d875069447c81400f6b7163c4b5f981470620d4,2013-02,South Wales Police,South Wales Police,-3.428410,51.635694,On or near Parking Area,W01001275,Rhondda Cynon Taf 013C,Investigation complete; no suspect identified
a0677193dcddfd38cc0c78949c1f78cfa20f1a50d8f092b8acd1144acc36b1e2,2013-02,South Wales Police,South Wales Police,-3.369207,51.746378,On or near JONES TERRACE,W01001316,Merthyr Tydfil 005B,Investigation complete; no suspect identified
bbd8f808a9d9ce8bc2a89185b523e9b2fd0089282b8ebffaa91c285188eb3405,2013-02,South Wales Police,South Wales Police,-3.252638,51.475515,On or near WILSON PLACE,W01001742,Cardiff 043A,Investigation complete; no suspect identified
7cd8d58d8ce75621d8dfbc14271d441aa44437d15d1f9cc8cecd80dedb859baf,2013-02,South Wales Police,South Wales Police,-3.149016,51.525114,On or near WAUN FACH,W01001818,Cardiff 009D,Investigation complete; no suspect identified
ab9563bf2e5fece38c007612fcc511d142bf0befda1edea90ae8afdf03e80d26,2013-02,South Wales Police,South Wales Police,-3.140193,51.482354,On or near WILLOWS AVENUE,W01001871,Cardiff 037B,Investigation complete; no suspect identified
075bbbb29aba0c3c70612a98e8010bf6b8e6422d69fea495da6229cfd9b8be77,2013-02,South Wales Police,South Wales Police,-3.176377,51.477069,On or near Nightclub,W01001941,Cardiff 032G,Investigation complete; no suspect identified
