Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c310f2467b16a0dc8d9ed6339986b9422c327a1ff6c654c350caa3a1e21f239d,2013-10,South Wales Police,South Wales Police,-3.322750,51.588475,On or near MEADOW STREET,W01001264,Rhondda Cynon Taf 022F,Investigation complete; no suspect identified
5b6f48b91282d059e8edba52afd3013bdded8736643938b91ddca0a11b302b86,2013-10,South Wales Police,South Wales Police,-3.378255,51.754796,On or near ST MARY'S CLOSE,W01001305,Merthyr Tydfil 003C,Investigation complete; no suspect identified
b17aff6da7f6a9f98a2eed587e06daf79e343ceaed9520ae7393de65baeddaca,2013-10,South Wales Police,South Wales Police,-3.339155,51.605895,On or near MORGAN STREET,W01001228,Rhondda Cynon Taf 021D,Investigation complete; no suspect identified
1b0115924b145234a528b055b20b43761dea2c1d23c8c7a655db11a735547331,2013-10,South Wales Police,South Wales Police,-3.200493,51.487921,On or near IESTYN STREET,W01001858,Cardiff 034A,Investigation complete; no suspect identified
89c5ecefd1eec484965737a3bb0606a57b1308686f060856bd8f5b790dc6cde0,2013-10,South Wales Police,South Wales Police,-3.172622,51.499101,On or near BOVERTON STREET,W01001836,Cardiff 030B,Investigation complete; no suspect identified
ac40b9d354d8ea359fba30cadb19df10ede88d374ed922b2f45bc899366d38fa,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
73600bfdf85135d5b266d39c81c5131af6ced7e688d133fa1dd5079e25590d3f,2013-10,South Wales Police,South Wales Police,-3.173442,51.494579,On or near BRAEVAL STREET,W01001837,Cardiff 030C,Investigation complete; no suspect identified
9b413539bbb3f12755c48fe7f8cbbbdf507a14de355f04b23065032363298443,2013-10,South Wales Police,South Wales Police,-3.184403,51.457827,On or near FFORDD JAMES MCGHAN,W01001947,Cardiff 048E,Investigation complete; no suspect identified
a1e68dce2b0a758594f2b3da19b0ea68f5ebc3c90e8018e74c485557d674470e,2013-10,South Wales Police,South Wales Police,-3.451773,51.628807,On or near YNYSCYNON ROAD,W01001260,Rhondda Cynon Taf 014C,Investigation complete; no suspect identified
714d4d9656e311c00670fa44e619254122d1f0709094fc6da0bc410f77675a9a,2013-10,South Wales Police,South Wales Police,-3.176617,51.499834,On or near CLUN TERRACE,W01001726,Cardiff 028E,Investigation complete; no suspect identified
d7ec455214da8267c78f896caa1cf7d0ed14e0b026fc49228e6284190e31f383,2013-10,South Wales Police,South Wales Police,-3.454357,51.639143,On or near Further/Higher Educational Building,W01001200,Rhondda Cynon Taf 014A,Investigation complete; no suspect identified
